row,s,dis,displayName,jerseyNumber
57868,0.27,0.02,Patrick DiMarco,42
57869,0.34,0.03,Patrick DiMarco,42
57870,0.4,0.04,Patrick DiMarco,42
57871,0.41,0.04,Patrick DiMarco,42
57872,0.33,0.03,Patrick DiMarco,42
57873,0.29,0.03,Patrick DiMarco,42
57874,0.2,0.02,Patrick DiMarco,42
57875,0.1,0.01,Patrick DiMarco,42
57876,0.1,0.01,Patrick DiMarco,42
57877,0.17,0.02,Patrick DiMarco,42
57878,0.26,0.03,Patrick DiMarco,42
57879,0.43,0.05,Patrick DiMarco,42
57880,0.71,0.08,Patrick DiMarco,42
57881,0.99,0.1,Patrick DiMarco,42
57882,1.41,0.14,Patrick DiMarco,42
57883,1.84,0.18,Patrick DiMarco,42
57884,2.38,0.24,Patrick DiMarco,42
57885,2.69,0.25,Patrick DiMarco,42
57886,3.07,0.3,Patrick DiMarco,42
57887,3.47,0.34,Patrick DiMarco,42
57888,3.97,0.4,Patrick DiMarco,42
57889,4.38,0.43,Patrick DiMarco,42
57890,4.64,0.45,Patrick DiMarco,42
57891,4.89,0.48,Patrick DiMarco,42
57892,5.08,0.5,Patrick DiMarco,42
57893,5.25,0.52,Patrick DiMarco,42
57894,5.39,0.53,Patrick DiMarco,42
57895,5.5,0.55,Patrick DiMarco,42
57896,5.63,0.56,Patrick DiMarco,42
57897,5.74,0.58,Patrick DiMarco,42
57898,5.78,0.58,Patrick DiMarco,42
57899,5.87,0.6,Patrick DiMarco,42
57900,5.91,0.6,Patrick DiMarco,42
57901,5.92,0.6,Patrick DiMarco,42
57902,5.86,0.59,Patrick DiMarco,42
57903,5.89,0.6,Patrick DiMarco,42
57904,5.95,0.61,Patrick DiMarco,42
57905,5.95,0.6,Patrick DiMarco,42
57906,5.85,0.59,Patrick DiMarco,42
57907,5.79,0.58,Patrick DiMarco,42
57908,5.75,0.58,Patrick DiMarco,42
57909,5.7,0.57,Patrick DiMarco,42
57910,5.6,0.57,Patrick DiMarco,42
57911,5.5,0.56,Patrick DiMarco,42
57912,5.42,0.55,Patrick DiMarco,42
57913,5.32,0.54,Patrick DiMarco,42
57914,5.18,0.52,Patrick DiMarco,42
57915,5.16,0.53,Patrick DiMarco,42
57916,5.03,0.51,Patrick DiMarco,42
57917,4.97,0.5,Patrick DiMarco,42
57918,4.96,0.51,Patrick DiMarco,42
57919,5,0.51,Patrick DiMarco,42
57920,4.98,0.5,Patrick DiMarco,42
57921,5.04,0.5,Patrick DiMarco,42
57922,4.96,0.5,Patrick DiMarco,42
57923,4.9,0.49,Patrick DiMarco,42
57924,4.85,0.49,Patrick DiMarco,42
57925,4.65,0.47,Patrick DiMarco,42
57926,4.27,0.43,Patrick DiMarco,42
57927,3.88,0.39,Patrick DiMarco,42
57928,3.51,0.36,Patrick DiMarco,42
57929,3.19,0.33,Patrick DiMarco,42
57930,2.92,0.31,Patrick DiMarco,42
57931,2.66,0.28,Patrick DiMarco,42
57932,2.45,0.26,Patrick DiMarco,42
57933,2.34,0.24,Patrick DiMarco,42
57934,2.27,0.24,Patrick DiMarco,42
57935,2.38,0.25,Patrick DiMarco,42
57936,2.44,0.24,Patrick DiMarco,42
57937,2.49,0.25,Patrick DiMarco,42
57938,2.82,0.28,Patrick DiMarco,42
57939,3.05,0.3,Patrick DiMarco,42
57940,3.5,0.34,Patrick DiMarco,42
57941,3.84,0.37,Patrick DiMarco,42
57942,4.37,0.43,Patrick DiMarco,42
57943,4.67,0.45,Patrick DiMarco,42
57944,4.9,0.48,Patrick DiMarco,42
57945,4.97,0.49,Patrick DiMarco,42
57946,5.01,0.5,Patrick DiMarco,42
57947,4.85,0.47,Patrick DiMarco,42
57948,4.5,0.43,Patrick DiMarco,42
57949,4.31,0.44,Patrick DiMarco,42
57950,3.87,0.38,Patrick DiMarco,42
57951,3.2,0.31,Patrick DiMarco,42
57952,2.69,0.29,Patrick DiMarco,42
57953,2.22,0.24,Patrick DiMarco,42
57954,1.8,0.2,Patrick DiMarco,42
57955,1.48,0.16,Patrick DiMarco,42
57956,1.12,0.13,Patrick DiMarco,42
57957,0.76,0.09,Patrick DiMarco,42
57958,0.58,0.07,Patrick DiMarco,42
57959,0.46,0.06,Patrick DiMarco,42
57960,0.4,0.05,Patrick DiMarco,42
57961,0.04,0,Brandon Bolden,38
57962,0.12,0.01,Brandon Bolden,38
57963,0.23,0.03,Brandon Bolden,38
57964,0.25,0.02,Brandon Bolden,38
57965,0.35,0.03,Brandon Bolden,38
57966,0.51,0.05,Brandon Bolden,38
57967,0.81,0.07,Brandon Bolden,38
57968,1.28,0.12,Brandon Bolden,38
57969,1.87,0.18,Brandon Bolden,38
57970,2.39,0.23,Brandon Bolden,38
57971,2.98,0.28,Brandon Bolden,38
57972,3.52,0.34,Brandon Bolden,38
57973,4.13,0.4,Brandon Bolden,38
57974,4.61,0.44,Brandon Bolden,38
57975,5.01,0.48,Brandon Bolden,38
57976,5.41,0.53,Brandon Bolden,38
57977,5.85,0.58,Brandon Bolden,38
57978,6.29,0.62,Brandon Bolden,38
57979,6.59,0.65,Brandon Bolden,38
57980,6.96,0.69,Brandon Bolden,38
57981,7.1,0.7,Brandon Bolden,38
57982,7.43,0.73,Brandon Bolden,38
57983,7.61,0.76,Brandon Bolden,38
57984,7.85,0.78,Brandon Bolden,38
57985,8.06,0.8,Brandon Bolden,38
57986,8.25,0.82,Brandon Bolden,38
57987,8.4,0.84,Brandon Bolden,38
57988,8.47,0.85,Brandon Bolden,38
57989,8.52,0.85,Brandon Bolden,38
57990,8.63,0.87,Brandon Bolden,38
57991,8.76,0.88,Brandon Bolden,38
57992,8.82,0.89,Brandon Bolden,38
57993,8.79,0.88,Brandon Bolden,38
57994,8.97,0.91,Brandon Bolden,38
57995,8.97,0.9,Brandon Bolden,38
57996,8.93,0.9,Brandon Bolden,38
57997,8.96,0.91,Brandon Bolden,38
57998,9.07,0.91,Brandon Bolden,38
57999,9.09,0.91,Brandon Bolden,38
58000,9.08,0.91,Brandon Bolden,38
58001,9.12,0.91,Brandon Bolden,38
58002,9.11,0.91,Brandon Bolden,38
58003,9.07,0.91,Brandon Bolden,38
58004,9,0.91,Brandon Bolden,38
58005,8.91,0.9,Brandon Bolden,38
58006,8.77,0.89,Brandon Bolden,38
58007,8.61,0.87,Brandon Bolden,38
58008,8.4,0.85,Brandon Bolden,38
58009,8.15,0.83,Brandon Bolden,38
58010,7.86,0.8,Brandon Bolden,38
58011,7.54,0.77,Brandon Bolden,38
58012,7.17,0.73,Brandon Bolden,38
58013,6.78,0.69,Brandon Bolden,38
58014,6.38,0.65,Brandon Bolden,38
58015,5.98,0.61,Brandon Bolden,38
58016,5.6,0.58,Brandon Bolden,38
58017,5.27,0.54,Brandon Bolden,38
58018,4.99,0.52,Brandon Bolden,38
58019,4.72,0.47,Brandon Bolden,38
58020,4.6,0.47,Brandon Bolden,38
58021,4.5,0.46,Brandon Bolden,38
58022,4.41,0.44,Brandon Bolden,38
58023,4.43,0.45,Brandon Bolden,38
58024,4.41,0.44,Brandon Bolden,38
58025,4.42,0.44,Brandon Bolden,38
58026,4.4,0.44,Brandon Bolden,38
58027,4.38,0.44,Brandon Bolden,38
58028,4.42,0.44,Brandon Bolden,38
58029,4.41,0.44,Brandon Bolden,38
58030,4.41,0.45,Brandon Bolden,38
58031,4.46,0.45,Brandon Bolden,38
58032,4.42,0.45,Brandon Bolden,38
58033,4.32,0.43,Brandon Bolden,38
58034,4.24,0.43,Brandon Bolden,38
58035,4.1,0.41,Brandon Bolden,38
58036,3.98,0.4,Brandon Bolden,38
58037,3.86,0.4,Brandon Bolden,38
58038,3.7,0.38,Brandon Bolden,38
58039,3.7,0.39,Brandon Bolden,38
58040,3.74,0.39,Brandon Bolden,38
58041,3.59,0.36,Brandon Bolden,38
58042,3.59,0.37,Brandon Bolden,38
58043,3.53,0.36,Brandon Bolden,38
58044,3.35,0.34,Brandon Bolden,38
58045,3.31,0.33,Brandon Bolden,38
